category,IsolationForest,VAE,Ensemble α=0.7
Normal,0.4292035398230088,0.0206489675516224,0.4292035398230088
KASAN,0.997752808988764,1.0,0.997752808988764
WARNING,0.995260663507109,0.9976303317535544,0.995260663507109
general_protection_fault,0.997067448680352,1.0,0.997067448680352
memory_leak,1.0,1.0,1.0
KMSAN,1.0,1.0,1.0
INFO,1.0,1.0,1.0
BUG,1.0,1.0,1.0
kernel_BUG,1.0,1.0,1.0
possible_deadlock,0.3333333333333333,1.0,0.3333333333333333
divide_error,1.0,1.0,1.0
inconsistent_lock_state,1.0,1.0,1.0
other,1.0,1.0,1.0
