category,n,best_model,best_recall,worst_model,worst_recall,spread
possible_deadlock,9,VAE,1.0,IsolationForest,0.333,0.667
BUG,33,IsolationForest,1.0,PyOD-KNN,0.879,0.121
KASAN,445,VAE,1.0,PyOD-KNN,0.944,0.056
WARNING,422,PyOD-AutoEncoder,1.0,PyOD-KNN,0.986,0.014
general_protection_fault,341,VAE,1.0,IsolationForest,0.997,0.003
memory_leak,241,IsolationForest,1.0,IsolationForest,1.0,0.0
KMSAN,65,IsolationForest,1.0,IsolationForest,1.0,0.0
INFO,53,IsolationForest,1.0,IsolationForest,1.0,0.0
kernel_BUG,19,IsolationForest,1.0,IsolationForest,1.0,0.0
divide_error,2,IsolationForest,1.0,IsolationForest,1.0,0.0
inconsistent_lock_state,2,IsolationForest,1.0,IsolationForest,1.0,0.0
other,1,IsolationForest,1.0,IsolationForest,1.0,0.0
